 -3   23 20  23 32  23 41  23 49  23 56  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **   0  2   0  2   0  4   0  6   0  8   0 10   0 12   0 14   0 17   0 20   0 23   0 27   0 32   0 36   0 42
 59    0 21   0 46   1  6   1 22   1 35   1 47   2  7   2 24   2 40   2 56   3 14   3 33   3 45   3 58   3 58   4  4   4 10   4 17   4 24   4 32   4 41   4 51   5  3   5 16   5 31   5 49   6 11   6 41
 60    1 33   1 54   2 10   2 23   2 34   2 44   3  1   3 15   3 29   3 42   3 57   4 13   4 23   4 34   4 34   4 38   4 44   4 49   4 55   5  2   5  9   5 17   5 26   5 36   5 47   6  1   6 17   6 36
 61    2 47   3  2   3 14   3 24   3 33   3 40   3 53   4  4   4 15   4 25   4 36   4 49   4 56   5  4   5  4   5  8   5 12   5 16   5 21   5 25   5 31   5 37   5 43   5 51   5 59   6  8   6 19   6 32
 62    3 59   4  9   4 17   4 24   4 30   4 35   4 43   4 51   4 58   5  5   5 13   5 21   5 26   5 32   5 32   5 34   5 37   5 39   5 42   5 46   5 49   5 53   5 57   6  2   6  7   6 13   6 20   6 28
 63    5 11   5 15   5 19   5 23   5 25   5 28   5 32   5 36   5 40   5 43   5 47   5 51   5 54   5 56   5 56   5 58   5 59   6  0   6  2   6  3   6  5   6  7   6  9   6 12   6 14   6 17   6 20   6 24
 64    6 21   6 21   6 21   6 21   6 21   6 20   6 20   6 20   6 20   6 20   6 20   6 20   6 20   6 20   6 20   6 20   6 20   6 20   6 20   6 20   6 20   6 20   6 20   6 20   6 20   6 20   6 20   6 21
 65    7 31   7 26   7 22   7 18   7 15   7 13   7  8   7  4   7  1   6 57   6 54   6 49   6 47   6 44   6 44   6 43   6 42   6 40   6 39   6 37   6 35   6 34   6 32   6 29   6 27   6 24   6 21   6 17
 66    8 41   8 31   8 23   8 16   8 10   8  5   7 57   7 49   7 42   7 35   7 28   7 19   7 14   7  9   7  9   7  6   7  4   7  1   6 58   6 55   6 52   6 48   6 44   6 39   6 34   6 28   6 21   6 13
 67    9 52   9 37   9 25   9 15   9  6   8 59   8 46   8 35   8 25   8 14   8  3   7 51   7 44   7 36   7 36   7 32   7 28   7 24   7 20   7 15   7 10   7  4   6 57   6 50   6 42   6 33   6 22   6 10
 68   11  4  10 43  10 27  10 14  10  3   9 53   9 37   9 23   9  9   8 56   8 42   8 26   8 16   8  6   8  6   8  1   7 56   7 50   7 45   7 38   7 31   7 23   7 15   7  5   6 54   6 41   6 25   6  7
