 24436  05 16 03.20 -08 10 03.6  0.18 -0.030   B8Ia         beta       Ori     1.87    -0.56    4.22
 24608  05 19 01.31 +46 01 34.7  0.08  0.795 P M1: comp     alpha      Aur    75.52  -427.13   77.29
 24674  05 19 08.27 -06 48 46.2  3.59 -0.115   B5III        tau        Ori   -15.31    -9.57    5.88
 24845  05 21 01.69 -13 08 47.8  4.29 -0.235   B0.5IV       lambda     Lep    -2.49    -4.74    3.03
 25247  05 25 27.97 -07 46 53.6  4.13  0.943   G8III                   Ori   -13.91   -44.80   18.71
 25281  05 26 03.75 -02 22 14.5  3.35 -0.240   B1V + B2     eta        Ori    -0.54    -3.21    3.62
 25336  05 26 49.35 +06 22 31.9  1.64 -0.224   B2III        gamma      Ori    -8.75   -13.28   13.42
 25428  05 28 17.16 +28 37 51.1  1.65 -0.130   B7III        beta       Tau    23.28  -174.22   24.89
 25606  05 29 35.78 -20 44 11.4  2.81  0.807   G5II         beta       Lep    -5.03   -85.92   20.49
 25813  05 32 28.29 +05 58 10.2  4.20 -0.143   B5V                     Ori     6.57   -32.45   11.30
 25859  05 32 19.95 -35 26 57.4  3.86  1.130   K1II/III     epsilon    Col    28.36   -34.11   11.77
 25930  05 33 37.06 -00 16 42.0  2.25 -0.175 D O9.5II       delta      Ori     1.67     0.56    3.56
 25945  05 34 03.69 +18 36 52.9  4.32  2.060   M2Ib         CE         Tau    -0.34    -4.51    1.70
 25985  05 34 07.26 -17 48 07.2  2.58  0.211   F0Ib         alpha      Lep     3.27     1.54    2.54
 26069  05 33 54.14 -62 28 10.9  3.76  0.640   F6Ia         beta       Dor     1.06    12.56    3.14
 26176  05 36 33.10 +09 30 29.2  4.39 -0.157   B0IV         phi^1      Ori    -1.24    -2.49    3.31
 26207  05 36 52.48 +09 57 08.9  3.39 -0.160   O            lambda     Ori    -1.03    -1.86    3.09
 26241  05 36 58.53 -05 53 30.3  2.75 -0.210   O9III        iota       Ori     2.27    -0.62    2.46
 26311  05 37 48.81 -01 11 03.8  1.69 -0.184   B0Ia         epsilon    Ori     1.49    -1.06    2.43
 26366  05 38 38.32 +09 18 17.9  4.09  0.951   G8III-IV     phi^2      Ori    96.84  -304.18   28.10
 26451  05 39 31.77 +21 09 31.5  2.97 -0.148 P B4IIIp       zeta       Tau     2.39   -18.04    7.82
 26549  05 40 19.75 -02 35 04.0  3.77 -0.190 G O9.5V        sigma      Ori     4.61    -0.40    2.84
 26594  05 40 51.04 +04 08 12.2  4.50 -0.098 P B3IIIe                          0.76     0.07    2.01
 26634  05 40 47.45 -34 03 33.1  2.65 -0.120   B7IV         alpha      Col    -0.10   -24.05   12.16
 26727  05 42 20.98 -01 55 42.4  1.74 -0.199 P O9.5Ib SB    zeta       Ori     3.99     2.54    3.99
 27072  05 45 46.64 -22 26 24.8  3.59  0.481   F7V          gamma      Lep  -292.42  -368.45  111.49
 27100  05 44 49.97 -65 43 25.9  4.34  0.217   A7V          delta      Dor   -28.38     6.12   22.48
 27288  05 48 23.06 -14 48 45.1  3.55  0.104   A2Vann       zeta       Lep   -14.84    -1.18   46.47
 27321  05 48 01.96 -51 03 22.9  3.85  0.171   A3V          beta       Pic     4.65    81.96   51.87
 27366  05 49 15.10 -09 39 39.0  2.07 -0.168 P B0.5Iavar    kappa      Ori     1.55    -1.20    4.52
 27530  05 50 24.12 -56 09 35.1  4.50  1.075   K1III        gamma      Pic    81.61   -71.77   18.78
 27628  05 52 04.31 -35 45 29.8  3.12  1.146   K1.5III      beta       Col    55.74   404.68   37.94
 27654  05 52 40.63 -20 52 43.1  3.76  0.984   G8III/IV     delta      Lep   228.96  -647.96   29.05
 27673  05 53 40.53 +39 09 15.0  3.97  1.132   K0III        nu         Aur     8.48     0.39   15.17
 27913  05 56 15.03 +20 16 44.0  4.39  0.594   G0V          chi^1      Ori  -163.17   -98.92  115.43
 27989  05 56 52.70 +07 24 36.7  0.45  1.500 P M2Ib         alpha      Ori    27.33    10.86    7.63
 28103  05 57 50.45 -14 09 51.4  3.71  0.337   F1V          eta        Lep   -42.23   139.02   66.47
 28199  05 58 39.29 -35 16 54.2  4.36 -0.165   B2.5IV       gamma      Col    -2.65    11.19    3.82
 28328  06 00 06.73 -42 48 53.8  3.96  1.146   K0III        eta        Col    18.53   -11.45    6.14
 28358  06 02 07.34 +54 16 58.2  3.72  1.010   K0III        delta      Aur    86.31  -134.05   23.22
 28360  06 01 50.43 +44 56 48.8  1.90  0.077   A2V          beta       Aur   -56.41    -0.88   39.72
 28380  06 01 52.20 +37 12 40.8  2.65 -0.083 P A0p Si       theta      Aur    42.09   -73.61   18.83
 28404  06 02 16.44 +45 56 09.0  4.30  1.701   M3IIvar      pi         Aur    -2.42    -7.32    3.88
 28614  06 04 07.05 +09 38 40.0  4.12  0.170   Am           mu         Ori    14.19   -37.44   21.49
 28734  06 06 02.16 +23 15 30.3  4.16  0.835   G7III                   Gem    -2.60  -119.72   21.64
 29038  06 09 22.29 +14 45 42.5  4.42 -0.164   B3IV         nu         Ori     4.95   -21.18    6.10
 29426  06 13 43.89 +14 11 55.6  4.45 -0.180   B3IV         xi         Ori    -1.59   -20.23    5.14
 29651  06 16 23.56 -06 17 12.8  3.99  1.319   K3III        gamma      Mon    -6.18   -20.06    5.06
 29655  06 16 46.77 +22 29 40.6  3.31  1.600 W M3III        eta        Gem   -62.53   -10.24    9.34
 29696  06 17 23.12 +29 28 59.7  4.32  1.021   G8IIIvar     kappa      Aur   -70.90  -261.73   19.31
 29807  06 17 40.46 -35 09 10.2  4.37  0.978   G8II         kappa      Col     0.39    87.58   17.83
 30060  06 22 23.99 +58 59 42.4  4.44  0.032   A2Vs         UZ         Lyn    -3.51    24.43   21.88
 30122  06 21 31.41 -30 04 45.6  3.02 -0.160   B2.5V        zeta       CMa     8.00     3.81    9.70
 30277  06 23 15.97 -33 27 15.1  3.85  0.858   G7II         delta      Col   -24.19   -52.48   13.75
 30324  06 24 05.27 -17 58 25.7  1.98 -0.240   B1II/III     beta       CMa    -3.45    -0.47    6.53
 30343  06 24 51.96 +22 29 39.7  2.87  1.621   M3IIIvar     mu         Gem    56.84  -108.79   14.07
 30419  06 25 26.26 +04 34 27.0  4.39  0.215   A5IV                    Mon   -20.88    10.75   25.39
 30438  06 24 39.10 -52 42 50.5 -0.62  0.164   F0Ib         alpha      Car    19.99    23.67   10.43
 30788  06 29 20.35 -32 36 06.5  4.47 -0.169   B4V          lambda     CMa   -13.78    24.24    8.03
 30867  06 30 20.76 -07 03 20.5  3.76 -0.113 G B3Ve                           -7.00    -4.97    4.72
 30883  06 30 49.99 +20 11 21.1  4.13 -0.115   B6III        nu         Gem    -5.98   -14.08    6.49
 31125  06 33 10.17 -23 26 35.4  4.34 -0.245   B1III        xi^1       CMa    -2.72     6.45    1.59
 31216  06 34 36.43 +07 18 25.8  4.47  0.023   A0Ib                    Mon    -3.89    -5.80    2.16
 31407  06 35 40.26 -53 00 08.8  4.35 -0.021   B9III                          -7.65    11.33    1.85
 31592  06 38 03.52 -19 17 05.9  3.95  1.037   K1III+       nu^2       CMa    62.32   -69.91   50.41
 31681  06 39 31.76 +16 22 09.3  1.93  0.001 D A0IV         gamma      Gem    -2.04   -66.92   31.12
