                                SIDEREAL TIME                                
     
                               Astrografo ROA                                
               Location:     0°00'00.0",   0°00'00.0",     0m                
                 (Longitude referred to Ephemeris meridian)                  
     
                              Ephemeris                Local         Equation
     Julian Date            Sidereal Time          Sidereal Time       of the
         (TT)                  Mean    App.           Mean    App.   Equinoxes
          d              h  m   s       s       h  m   s       s        s
   2454857.813889       15 54 54.4575 55.3497  15 54 54.4575 55.3497  +0.8923
   2454857.814583       15 55 54.6217 55.5140  15 55 54.6217 55.5140  +0.8923
   2454857.815278       15 56 54.7860 55.6783  15 56 54.7860 55.6783  +0.8923
   2454857.815972       15 57 54.9503 55.8425  15 57 54.9503 55.8425  +0.8923
   2454857.816667       15 58 55.1146 56.0069  15 58 55.1146 56.0069  +0.8923
   2454857.817361       15 59 55.2789 56.1711  15 59 55.2789 56.1711  +0.8923
   2454857.818056       16 00 55.4431 56.3354  16 00 55.4431 56.3354  +0.8923
   2454857.818750       16 01 55.6074 56.4997  16 01 55.6074 56.4997  +0.8923
   2454857.819444       16 02 55.7717 56.6640  16 02 55.7717 56.6640  +0.8923
   2454857.820139       16 03 55.9359 56.8282  16 03 55.9359 56.8282  +0.8923
   2454857.820833       16 04 56.1002 56.9925  16 04 56.1002 56.9925  +0.8923
   2454857.821528       16 05 56.2645 57.1568  16 05 56.2645 57.1568  +0.8923
   2454857.822222       16 06 56.4288 57.3210  16 06 56.4288 57.3210  +0.8923
   2454857.822917       16 07 56.5930 57.4853  16 07 56.5930 57.4853  +0.8923
   2454857.823611       16 08 56.7573 57.6496  16 08 56.7573 57.6496  +0.8923
   2454857.824306       16 09 56.9216 57.8139  16 09 56.9216 57.8139  +0.8923
   2454857.825000       16 10 57.0859 57.9782  16 10 57.0859 57.9782  +0.8923
   2454857.825694       16 11 57.2502 58.1424  16 11 57.2502 58.1424  +0.8923
   2454857.826389       16 12 57.4144 58.3067  16 12 57.4144 58.3067  +0.8923
   2454857.827083       16 13 57.5787 58.4710  16 13 57.5787 58.4710  +0.8923
   2454857.827778       16 14 57.7430 58.6353  16 14 57.7430 58.6353  +0.8923
   2454857.828472       16 15 57.9072 58.7995  16 15 57.9072 58.7995  +0.8923
   2454857.829167       16 16 58.0715 58.9638  16 16 58.0715 58.9638  +0.8923
   2454857.829861       16 17 58.2358 59.1281  16 17 58.2358 59.1281  +0.8923
   2454857.830556       16 18 58.4001 59.2923  16 18 58.4001 59.2923  +0.8923
   2454857.831250       16 19 58.5643 59.4566  16 19 58.5643 59.4566  +0.8923
   2454857.831944       16 20 58.7286 59.6209  16 20 58.7286 59.6209  +0.8923
   2454857.832639       16 21 58.8929 59.7852  16 21 58.8929 59.7852  +0.8923
   2454857.833333       16 22 59.0572 59.9495  16 22 59.0572 59.9495  +0.8923
   2454857.834028       16 23 59.2214 60.1138  16 23 59.2214 60.1138  +0.8923
   2454857.834722       16 24 59.3857 60.2780  16 24 59.3857 60.2780  +0.8923
   2454857.835417       16 25 59.5500 60.4423  16 25 59.5500 60.4423  +0.8923
   2454857.836111       16 26 59.7143 60.6066  16 26 59.7143 60.6066  +0.8923
   2454857.836806       16 27 59.8785 60.7708  16 27 59.8785 60.7708  +0.8923
   2454857.837500       16 29 00.0428 00.9351  16 29 00.0428 00.9351  +0.8923
   2454857.838194       16 30 00.2071 01.0994  16 30 00.2071 01.0994  +0.8923
   2454857.838889       16 31 00.3713 01.2637  16 31 00.3713 01.2637  +0.8923
   2454857.839583       16 32 00.5356 01.4279  16 32 00.5356 01.4279  +0.8923
   2454857.840278       16 33 00.6999 01.5922  16 33 00.6999 01.5922  +0.8923
   2454857.840972       16 34 00.8642 01.7565  16 34 00.8642 01.7565  +0.8923
   2454857.841667       16 35 01.0285 01.9208  16 35 01.0285 01.9208  +0.8923
   2454857.842361       16 36 01.1927 02.0851  16 36 01.1927 02.0851  +0.8923
   2454857.843056       16 37 01.3570 02.2493  16 37 01.3570 02.2493  +0.8923
   2454857.843750       16 38 01.5213 02.4136  16 38 01.5213 02.4136  +0.8923
   2454857.844444       16 39 01.6856 02.5779  16 39 01.6856 02.5779  +0.8923
   2454857.845139       16 40 01.8498 02.7421  16 40 01.8498 02.7421  +0.8923
   2454857.845833       16 41 02.0141 02.9064  16 41 02.0141 02.9064  +0.8923
   2454857.846528       16 42 02.1784 03.0707  16 42 02.1784 03.0707  +0.8923
   2454857.847222       16 43 02.3426 03.2350  16 43 02.3426 03.2350  +0.8923
   2454857.847917       16 44 02.5069 03.3993  16 44 02.5069 03.3993  +0.8923
   2454857.848611       16 45 02.6712 03.5635  16 45 02.6712 03.5635  +0.8923
   2454857.849306       16 46 02.8355 03.7278  16 46 02.8355 03.7278  +0.8923
   2454857.850000       16 47 02.9998 03.8921  16 47 02.9998 03.8921  +0.8923
   2454857.850694       16 48 03.1640 04.0564  16 48 03.1640 04.0564  +0.8923
   2454857.851389       16 49 03.3283 04.2206  16 49 03.3283 04.2206  +0.8923
   2454857.852083       16 50 03.4926 04.3849  16 50 03.4926 04.3849  +0.8923
   2454857.852778       16 51 03.6568 04.5492  16 51 03.6568 04.5492  +0.8923
   2454857.853472       16 52 03.8211 04.7135  16 52 03.8211 04.7135  +0.8923
   2454857.854167       16 53 03.9854 04.8777  16 53 03.9854 04.8777  +0.8923
   2454857.854861       16 54 04.1497 05.0420  16 54 04.1497 05.0420  +0.8923
   2454857.855556       16 55 04.3140 05.2063  16 55 04.3140 05.2063  +0.8923
   2454857.856250       16 56 04.4782 05.3706  16 56 04.4782 05.3706  +0.8923
   2454857.856944       16 57 04.6425 05.5349  16 57 04.6425 05.5349  +0.8923
   2454857.857639       16 58 04.8068 05.6991  16 58 04.8068 05.6991  +0.8923
   2454857.858333       16 59 04.9711 05.8634  16 59 04.9711 05.8634  +0.8923
   2454857.859028       17 00 05.1353 06.0277  17 00 05.1353 06.0277  +0.8924
   2454857.859722       17 01 05.2996 06.1919  17 01 05.2996 06.1919  +0.8924
   2454857.860417       17 02 05.4639 06.3562  17 02 05.4639 06.3562  +0.8924
   2454857.861111       17 03 05.6281 06.5205  17 03 05.6281 06.5205  +0.8924
   2454857.861806       17 04 05.7924 06.6848  17 04 05.7924 06.6848  +0.8924
   2454857.862500       17 05 05.9567 06.8490  17 05 05.9567 06.8490  +0.8924
   2454857.863194       17 06 06.1209 07.0133  17 06 06.1209 07.0133  +0.8924
   2454857.863889       17 07 06.2853 07.1776  17 07 06.2853 07.1776  +0.8924
   2454857.864583       17 08 06.4495 07.3419  17 08 06.4495 07.3419  +0.8924
   2454857.865278       17 09 06.6138 07.5062  17 09 06.6138 07.5062  +0.8924
   2454857.865972       17 10 06.7781 07.6704  17 10 06.7781 07.6704  +0.8924
   2454857.866667       17 11 06.9423 07.8347  17 11 06.9423 07.8347  +0.8924
   2454857.867361       17 12 07.1066 07.9990  17 12 07.1066 07.9990  +0.8924
   2454857.868056       17 13 07.2709 08.1633  17 13 07.2709 08.1633  +0.8924
   2454857.868750       17 14 07.4352 08.3275  17 14 07.4352 08.3275  +0.8924
   2454857.869444       17 15 07.5994 08.4918  17 15 07.5994 08.4918  +0.8924
   2454857.870139       17 16 07.7637 08.6561  17 16 07.7637 08.6561  +0.8924
   2454857.870833       17 17 07.9280 08.8203  17 17 07.9280 08.8203  +0.8924
   2454857.871528       17 18 08.0923 08.9847  17 18 08.0923 08.9847  +0.8924
   2454857.872222       17 19 08.2566 09.1489  17 19 08.2566 09.1489  +0.8924
   2454857.872917       17 20 08.4208 09.3132  17 20 08.4208 09.3132  +0.8924
   2454857.873611       17 21 08.5851 09.4775  17 21 08.5851 09.4775  +0.8924
   2454857.874306       17 22 08.7494 09.6417  17 22 08.7494 09.6417  +0.8924
   2454857.875000       17 23 08.9136 09.8060  17 23 08.9136 09.8060  +0.8924
   2454857.875694       17 24 09.0779 09.9703  17 24 09.0779 09.9703  +0.8924
   2454857.876389       17 25 09.2422 10.1346  17 25 09.2422 10.1346  +0.8924
   2454857.877083       17 26 09.4064 10.2988  17 26 09.4064 10.2988  +0.8924
   2454857.877778       17 27 09.5707 10.4631  17 27 09.5707 10.4631  +0.8924
   2454857.878472       17 28 09.7350 10.6274  17 28 09.7350 10.6274  +0.8924
   2454857.879167       17 29 09.8993 10.7917  17 29 09.8993 10.7917  +0.8924
   2454857.879861       17 30 10.0636 10.9560  17 30 10.0636 10.9560  +0.8924
   2454857.880556       17 31 10.2278 11.1202  17 31 10.2278 11.1202  +0.8924
   2454857.881250       17 32 10.3921 11.2845  17 32 10.3921 11.2845  +0.8924
   2454857.881944       17 33 10.5564 11.4488  17 33 10.5564 11.4488  +0.8924
   2454857.882639       17 34 10.7207 11.6131  17 34 10.7207 11.6131  +0.8924
   2454857.883333       17 35 10.8849 11.7773  17 35 10.8849 11.7773  +0.8924
   2454857.884028       17 36 11.0492 11.9416  17 36 11.0492 11.9416  +0.8924
   2454857.884722       17 37 11.2135 12.1059  17 37 11.2135 12.1059  +0.8924
   2454857.885417       17 38 11.3777 12.2701  17 38 11.3777 12.2701  +0.8924
   2454857.886111       17 39 11.5420 12.4344  17 39 11.5420 12.4344  +0.8924
   2454857.886806       17 40 11.7063 12.5987  17 40 11.7063 12.5987  +0.8924
   2454857.887500       17 41 11.8706 12.7630  17 41 11.8706 12.7630  +0.8924
   2454857.888194       17 42 12.0349 12.9273  17 42 12.0349 12.9273  +0.8924
