   2456600.030556       15 35 45.1823 45.7281  15 35 45.1823 45.7281  +0.5458
   2456600.031250       15 36 45.3466 45.8924  15 36 45.3466 45.8924  +0.5458
   2456600.031945       15 37 45.5109 46.0567  15 37 45.5109 46.0567  +0.5458
   2456600.032639       15 38 45.6752 46.2209  15 38 45.6752 46.2209  +0.5458
   2456600.033334       15 39 45.8394 46.3852  15 39 45.8394 46.3852  +0.5458
   2456600.034028       15 40 46.0037 46.5495  15 40 46.0037 46.5495  +0.5458
   2456600.034722       15 41 46.1680 46.7138  15 41 46.1680 46.7138  +0.5458
   2456600.035417       15 42 46.3322 46.8780  15 42 46.3322 46.8780  +0.5458
   2456600.036111       15 43 46.4965 47.0423  15 43 46.4965 47.0423  +0.5458
   2456600.036806       15 44 46.6608 47.2066  15 44 46.6608 47.2066  +0.5458
   2456600.037500       15 45 46.8251 47.3708  15 45 46.8251 47.3708  +0.5458
   2456600.038195       15 46 46.9894 47.5351  15 46 46.9894 47.5351  +0.5458
   2456600.038889       15 47 47.1536 47.6994  15 47 47.1536 47.6994  +0.5458
   2456600.039584       15 48 47.3179 47.8637  15 48 47.3179 47.8637  +0.5458
   2456600.040278       15 49 47.4822 48.0280  15 49 47.4822 48.0280  +0.5458
   2456600.040972       15 50 47.6464 48.1922  15 50 47.6464 48.1922  +0.5458
   2456600.041667       15 51 47.8107 48.3565  15 51 47.8107 48.3565  +0.5458
   2456600.042361       15 52 47.9750 48.5208  15 52 47.9750 48.5208  +0.5458
   2456600.043056       15 53 48.1393 48.6850  15 53 48.1393 48.6850  +0.5458
   2456600.043750       15 54 48.3035 48.8493  15 54 48.3035 48.8493  +0.5458
   2456600.044445       15 55 48.4678 49.0136  15 55 48.4678 49.0136  +0.5458
   2456600.045139       15 56 48.6321 49.1779  15 56 48.6321 49.1779  +0.5458
   2456600.045834       15 57 48.7964 49.3422  15 57 48.7964 49.3422  +0.5458
   2456600.046528       15 58 48.9607 49.5064  15 58 48.9607 49.5064  +0.5458
   2456600.047222       15 59 49.1249 49.6707  15 59 49.1249 49.6707  +0.5458
   2456600.047917       16 00 49.2892 49.8350  16 00 49.2892 49.8350  +0.5458
   2456600.048611       16 01 49.4535 49.9992  16 01 49.4535 49.9992  +0.5458
   2456600.049306       16 02 49.6177 50.1635  16 02 49.6177 50.1635  +0.5458
   2456600.050000       16 03 49.7820 50.3278  16 03 49.7820 50.3278  +0.5458
   2456600.050695       16 04 49.9463 50.4921  16 04 49.9463 50.4921  +0.5458
   2456600.051389       16 05 50.1106 50.6563  16 05 50.1106 50.6563  +0.5458
   2456600.052084       16 06 50.2748 50.8206  16 06 50.2748 50.8206  +0.5458
   2456600.052778       16 07 50.4391 50.9849  16 07 50.4391 50.9849  +0.5458
   2456600.053472       16 08 50.6034 51.1491  16 08 50.6034 51.1491  +0.5458
   2456600.054167       16 09 50.7677 51.3135  16 09 50.7677 51.3135  +0.5458
   2456600.054861       16 10 50.9319 51.4777  16 10 50.9319 51.4777  +0.5458
   2456600.055556       16 11 51.0962 51.6420  16 11 51.0962 51.6420  +0.5458
   2456600.056250       16 12 51.2605 51.8063  16 12 51.2605 51.8063  +0.5458
   2456600.056945       16 13 51.4248 51.9705  16 13 51.4248 51.9705  +0.5458
   2456600.057639       16 14 51.5890 52.1348  16 14 51.5890 52.1348  +0.5458
   2456600.058334       16 15 51.7533 52.2991  16 15 51.7533 52.2991  +0.5458
   2456600.059028       16 16 51.9176 52.4633  16 16 51.9176 52.4633  +0.5458
   2456600.059722       16 17 52.0818 52.6276  16 17 52.0818 52.6276  +0.5458
   2456600.060417       16 18 52.2461 52.7919  16 18 52.2461 52.7919  +0.5458
   2456600.061111       16 19 52.4104 52.9562  16 19 52.4104 52.9562  +0.5458
   2456600.061806       16 20 52.5747 53.1205  16 20 52.5747 53.1205  +0.5458
   2456600.062500       16 21 52.7390 53.2847  16 21 52.7390 53.2847  +0.5458
   2456600.063195       16 22 52.9032 53.4490  16 22 52.9032 53.4490  +0.5458
   2456600.063889       16 23 53.0675 53.6133  16 23 53.0675 53.6133  +0.5458
   2456600.064584       16 24 53.2318 53.7776  16 24 53.2318 53.7776  +0.5458
   2456600.065278       16 25 53.3961 53.9418  16 25 53.3961 53.9418  +0.5458
   2456600.065972       16 26 53.5603 54.1061  16 26 53.5603 54.1061  +0.5458
   2456600.066667       16 27 53.7246 54.2704  16 27 53.7246 54.2704  +0.5458
   2456600.067361       16 28 53.8889 54.4346  16 28 53.8889 54.4346  +0.5458
   2456600.068056       16 29 54.0531 54.5989  16 29 54.0531 54.5989  +0.5458
   2456600.068750       16 30 54.2174 54.7632  16 30 54.2174 54.7632  +0.5458
   2456600.069445       16 31 54.3817 54.9275  16 31 54.3817 54.9275  +0.5458
   2456600.070139       16 32 54.5460 55.0918  16 32 54.5460 55.0918  +0.5458
   2456600.070834       16 33 54.7103 55.2560  16 33 54.7103 55.2560  +0.5458
   2456600.071528       16 34 54.8745 55.4203  16 34 54.8745 55.4203  +0.5458
   2456600.072222       16 35 55.0388 55.5846  16 35 55.0388 55.5846  +0.5458
   2456600.072917       16 36 55.2031 55.7488  16 36 55.2031 55.7488  +0.5458
   2456600.073611       16 37 55.3673 55.9131  16 37 55.3673 55.9131  +0.5458
   2456600.074306       16 38 55.5316 56.0774  16 38 55.5316 56.0774  +0.5458
   2456600.075000       16 39 55.6959 56.2417  16 39 55.6959 56.2417  +0.5458
   2456600.075695       16 40 55.8602 56.4059  16 40 55.8602 56.4059  +0.5458
   2456600.076389       16 41 56.0244 56.5702  16 41 56.0244 56.5702  +0.5458
   2456600.077084       16 42 56.1887 56.7345  16 42 56.1887 56.7345  +0.5458
   2456600.077778       16 43 56.3530 56.8988  16 43 56.3530 56.8988  +0.5458
   2456600.078472       16 44 56.5173 57.0630  16 44 56.5173 57.0630  +0.5458
   2456600.079167       16 45 56.6816 57.2273  16 45 56.6816 57.2273  +0.5458
   2456600.079861       16 46 56.8458 57.3916  16 46 56.8458 57.3916  +0.5458
   2456600.080556       16 47 57.0101 57.5559  16 47 57.0101 57.5559  +0.5458
   2456600.081250       16 48 57.1744 57.7201  16 48 57.1744 57.7201  +0.5458
   2456600.081945       16 49 57.3386 57.8844  16 49 57.3386 57.8844  +0.5458
   2456600.082639       16 50 57.5029 58.0487  16 50 57.5029 58.0487  +0.5458
   2456600.083334       16 51 57.6672 58.2129  16 51 57.6672 58.2129  +0.5458
   2456600.084028       16 52 57.8314 58.3772  16 52 57.8314 58.3772  +0.5458
   2456600.084722       16 53 57.9957 58.5415  16 53 57.9957 58.5415  +0.5458
   2456600.085417       16 54 58.1600 58.7058  16 54 58.1600 58.7058  +0.5458
   2456600.086111       16 55 58.3243 58.8701  16 55 58.3243 58.8701  +0.5458
   2456600.086806       16 56 58.4886 59.0343  16 56 58.4886 59.0343  +0.5458
   2456600.087500       16 57 58.6528 59.1986  16 57 58.6528 59.1986  +0.5458
   2456600.088195       16 58 58.8171 59.3629  16 58 58.8171 59.3629  +0.5458
   2456600.088889       16 59 58.9814 59.5272  16 59 58.9814 59.5272  +0.5458
   2456600.089584       17 00 59.1457 59.6914  17 00 59.1457 59.6914  +0.5458
   2456600.090278       17 01 59.3099 59.8557  17 01 59.3099 59.8557  +0.5458
   2456600.090972       17 02 59.4742 60.0200  17 02 59.4742 60.0200  +0.5458
   2456600.091667       17 03 59.6385 60.1842  17 03 59.6385 60.1842  +0.5458
   2456600.092361       17 04 59.8027 60.3485  17 04 59.8027 60.3485  +0.5458
   2456600.093056       17 05 59.9671 60.5128  17 05 59.9671 60.5128  +0.5458
   2456600.093750       17 07 00.1313 00.6771  17 07 00.1313 00.6771  +0.5458
   2456600.094445       17 08 00.2956 00.8414  17 08 00.2956 00.8414  +0.5458
   2456600.095139       17 09 00.4599 01.0056  17 09 00.4599 01.0056  +0.5458
   2456600.095834       17 10 00.6241 01.1699  17 10 00.6241 01.1699  +0.5458
